sninamn,year,ghg_utsl
lnd_transp,2013,2691
lnd_transp,2014,2585
lnd_transp,2015,2381
lnd_transp,2016,2124
lnd_transp,2017,1995
lnd_transp,2018,1861
lnd_transp,2019,1810
lnd_transp,2020,1669
lnd_transp,2021,1722
lnd_transp,2022,1813
lnd_transp,2023,
red,2003,
red,2004,
red,2005,
red,2006,
red,2007,
red,2008,4333
red,2009,3787
red,2010,3818
red,2011,2479
red,2012,1840
red,2013,2243
red,2014,2367
red,2015,3097
red,2016,3713
red,2017,3198
red,2018,3379
red,2019,3386
red,2020,2817
red,2021,2857
red,2022,3081
red,2023,
flg,2003,
flg,2004,
flg,2005,
flg,2006,
flg,2007,
flg,2008,2313
flg,2009,1958
flg,2010,1959
flg,2011,2121
flg,2012,2034
flg,2013,2087
flg,2014,2120
flg,2015,2099
flg,2016,2543
flg,2017,2607
flg,2018,2475
flg,2019,2358
flg,2020,908
flg,2021,1084
flg,2022,1846
flg,2023,
mag_std_trans,2003,
mag_std_trans,2004,
mag_std_trans,2005,
mag_std_trans,2006,
mag_std_trans,2007,
mag_std_trans,2008,703
mag_std_trans,2009,743
mag_std_trans,2010,700
mag_std_trans,2011,701
mag_std_trans,2012,652
mag_std_trans,2013,634
mag_std_trans,2014,633
mag_std_trans,2015,644
mag_std_trans,2016,580
mag_std_trans,2017,569
mag_std_trans,2018,546
mag_std_trans,2019,574
mag_std_trans,2020,566
mag_std_trans,2021,602
mag_std_trans,2022,561
mag_std_trans,2023,
htl_rest,2003,
htl_rest,2004,
htl_rest,2005,
htl_rest,2006,
htl_rest,2007,
htl_rest,2008,87
htl_rest,2009,87
htl_rest,2010,92
htl_rest,2011,86
htl_rest,2012,81
htl_rest,2013,81
htl_rest,2014,79
htl_rest,2015,80
htl_rest,2016,78
htl_rest,2017,77
htl_rest,2018,74
htl_rest,2019,72
htl_rest,2020,67
htl_rest,2021,68
htl_rest,2022,61
htl_rest,2023,
frlg,2003,
frlg,2004,
frlg,2005,
frlg,2006,
frlg,2007,
frlg,2008,19
frlg,2009,19
frlg,2010,19
frlg,2011,17
frlg,2012,16
frlg,2013,15
frlg,2014,13
frlg,2015,12
frlg,2016,11
frlg,2017,10
frlg,2018,10
frlg,2019,9
frlg,2020,8
frlg,2021,7
frlg,2022,6
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,
flm_ljd_vid,2006,
flm_ljd_vid,2007,
flm_ljd_vid,2008,24
flm_ljd_vid,2009,22
flm_ljd_vid,2010,23
flm_ljd_vid,2011,23
flm_ljd_vid,2012,20
flm_ljd_vid,2013,19
flm_ljd_vid,2014,19
flm_ljd_vid,2015,18
flm_ljd_vid,2016,17
flm_ljd_vid,2017,16
flm_ljd_vid,2018,15
flm_ljd_vid,2019,14
flm_ljd_vid,2020,14
flm_ljd_vid,2021,14
flm_ljd_vid,2022,13
flm_ljd_vid,2023,
telekom,2003,
telekom,2004,
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,40
telekom,2009,34
telekom,2010,32
telekom,2011,33
telekom,2012,26
telekom,2013,25
telekom,2014,24
telekom,2015,22
telekom,2016,21
telekom,2017,19
telekom,2018,19
telekom,2019,18
telekom,2020,18
telekom,2021,18
telekom,2022,16
telekom,2023,
prog_inf,2003,
prog_inf,2004,
prog_inf,2005,
prog_inf,2006,
prog_inf,2007,
prog_inf,2008,93
prog_inf,2009,95
prog_inf,2010,86
prog_inf,2011,91
prog_inf,2012,82
prog_inf,2013,79
prog_inf,2014,73
prog_inf,2015,72
prog_inf,2016,68
prog_inf,2017,66
prog_inf,2018,65
prog_inf,2019,61
prog_inf,2020,54
prog_inf,2021,49
prog_inf,2022,41
prog_inf,2023,
bnk_kred,2003,
bnk_kred,2004,
bnk_kred,2005,
bnk_kred,2006,
bnk_kred,2007,
bnk_kred,2008,45
bnk_kred,2009,39
bnk_kred,2010,65
bnk_kred,2011,64
bnk_kred,2012,71
bnk_kred,2013,67
bnk_kred,2014,64
bnk_kred,2015,68
bnk_kred,2016,67
bnk_kred,2017,70
bnk_kred,2018,67
bnk_kred,2019,67
bnk_kred,2020,64
bnk_kred,2021,91
bnk_kred,2022,86
bnk_kred,2023,
frsk_pens,2003,
frsk_pens,2004,
frsk_pens,2005,
frsk_pens,2006,
frsk_pens,2007,
frsk_pens,2008,13
frsk_pens,2009,13
frsk_pens,2010,18
frsk_pens,2011,11
frsk_pens,2012,10
frsk_pens,2013,10
frsk_pens,2014,10
frsk_pens,2015,9
frsk_pens,2016,9
frsk_pens,2017,9
frsk_pens,2018,7
frsk_pens,2019,5
frsk_pens,2020,5
frsk_pens,2021,5
frsk_pens,2022,4
frsk_pens,2023,
serv_frsk,2003,
serv_frsk,2004,
serv_frsk,2005,
serv_frsk,2006,
serv_frsk,2007,
serv_frsk,2008,19
serv_frsk,2009,28
serv_frsk,2010,12
serv_frsk,2011,10
serv_frsk,2012,9
serv_frsk,2013,9
serv_frsk,2014,9
serv_frsk,2015,9
serv_frsk,2016,8
serv_frsk,2017,8
serv_frsk,2018,7
serv_frsk,2019,7
serv_frsk,2020,6
serv_frsk,2021,6
serv_frsk,2022,5
serv_frsk,2023,
fst_frv,2003,
fst_frv,2004,
fst_frv,2005,
fst_frv,2006,
fst_frv,2007,
fst_frv,2008,277
fst_frv,2009,270
fst_frv,2010,308
fst_frv,2011,254
fst_frv,2012,225
fst_frv,2013,203
fst_frv,2014,212
fst_frv,2015,204
fst_frv,2016,200
fst_frv,2017,188
fst_frv,2018,183
fst_frv,2019,182
fst_frv,2020,169
fst_frv,2021,166
fst_frv,2022,152
fst_frv,2023,
jur_ek_hvd,2003,
jur_ek_hvd,2004,
jur_ek_hvd,2005,
jur_ek_hvd,2006,
jur_ek_hvd,2007,
jur_ek_hvd,2008,306
jur_ek_hvd,2009,291
jur_ek_hvd,2010,285
