sni_id,year,ant_for_noll
halso,2003,
halso,2004,
halso,2005,
halso,2006,17423
halso,2007,17706
halso,2008,15986
halso,2009,19503
halso,2010,19898
halso,2011,20167
halso,2012,20345
halso,2013,20642
halso,2014,21130
halso,2015,21128
halso,2016,21354
halso,2017,21551
halso,2018,23298
halso,2019,23436
halso,2020,23813
halso,2021,24022
halso,2022,
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,27218
enheter_for_konst,2007,28931
enheter_for_konst,2008,27297
enheter_for_konst,2009,34970
enheter_for_konst,2010,36895
enheter_for_konst,2011,38077
enheter_for_konst,2012,39518
enheter_for_konst,2013,40673
enheter_for_konst,2014,41880
enheter_for_konst,2015,42850
enheter_for_konst,2016,43918
enheter_for_konst,2017,44798
enheter_for_konst,2018,45746
enheter_for_konst,2019,45860
enheter_for_konst,2020,46856
enheter_for_konst,2021,47812
enheter_for_konst,2022,
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,46683
fastighetsbolag_g,2007,48395
fastighetsbolag_g,2008,55768
fastighetsbolag_g,2009,64457
fastighetsbolag_g,2010,66415
fastighetsbolag_g,2011,67581
fastighetsbolag_g,2012,69844
fastighetsbolag_g,2013,72405
fastighetsbolag_g,2014,76059
fastighetsbolag_g,2015,79083
fastighetsbolag_g,2016,81613
fastighetsbolag_g,2017,84801
fastighetsbolag_g,2018,90607
fastighetsbolag_g,2019,94539
fastighetsbolag_g,2020,98946
fastighetsbolag_g,2021,103553
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,6638
film_vide,2007,7045
film_vide,2008,6880
film_vide,2009,8405
film_vide,2010,8731
film_vide,2011,8890
film_vide,2012,9203
film_vide,2013,9437
film_vide,2014,9874
film_vide,2015,9981
film_vide,2016,10376
film_vide,2017,10631
film_vide,2018,11333
film_vide,2019,11609
film_vide,2020,11917
film_vide,2021,12105
film_vide,2022,
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,1484
fisk,2007,1448
fisk,2008,1542
fisk,2009,1682
fisk,2010,1699
fisk,2011,1594
fisk,2012,1543
fisk,2013,1516
fisk,2014,1466
fisk,2015,1428
fisk,2016,1391
fisk,2017,1333
fisk,2018,1320
fisk,2019,1296
fisk,2020,1260
fisk,2021,1239
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,108
flygbolag,2007,124
flygbolag,2008,137
flygbolag,2009,157
flygbolag,2010,179
flygbolag,2011,194
flygbolag,2012,205
flygbolag,2013,219
flygbolag,2014,229
flygbolag,2015,223
flygbolag,2016,250
flygbolag,2017,256
flygbolag,2018,264
flygbolag,2019,279
flygbolag,2020,290
flygbolag,2021,289
flygbolag,2022,
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,2139
forsknings,2007,2230
forsknings,2008,1987
forsknings,2009,2537
