sninamn,year,prodvar
htl_rest,2023,
frlg,2003,90
frlg,2004,98
frlg,2005,122
frlg,2006,179
frlg,2007,227
frlg,2008,277
frlg,2009,348
frlg,2010,308
frlg,2011,254
frlg,2012,226
frlg,2013,205
frlg,2014,260
frlg,2015,233
frlg,2016,213
frlg,2017,178
frlg,2018,201
frlg,2019,216
frlg,2020,200
frlg,2021,206
frlg,2022,
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,1
flm_ljd_vid,2006,1
flm_ljd_vid,2007,
flm_ljd_vid,2008,
flm_ljd_vid,2009,
flm_ljd_vid,2010,
flm_ljd_vid,2011,
flm_ljd_vid,2012,
flm_ljd_vid,2013,0
flm_ljd_vid,2014,0
flm_ljd_vid,2015,
flm_ljd_vid,2016,
flm_ljd_vid,2017,
flm_ljd_vid,2018,
flm_ljd_vid,2019,
flm_ljd_vid,2020,
flm_ljd_vid,2021,
flm_ljd_vid,2022,
flm_ljd_vid,2023,
telekom,2003,0
telekom,2004,0
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,
telekom,2009,
telekom,2010,
telekom,2011,
telekom,2012,
telekom,2013,
telekom,2014,
telekom,2015,
telekom,2016,
telekom,2017,
telekom,2018,
telekom,2019,
telekom,2020,
telekom,2021,
telekom,2022,
telekom,2023,
prog_inf,2003,30
prog_inf,2004,32
prog_inf,2005,35
prog_inf,2006,40
prog_inf,2007,46
prog_inf,2008,54
prog_inf,2009,63
prog_inf,2010,61
prog_inf,2011,87
prog_inf,2012,104
prog_inf,2013,110
prog_inf,2014,102
prog_inf,2015,79
prog_inf,2016,125
prog_inf,2017,100
prog_inf,2018,152
prog_inf,2019,112
prog_inf,2020,120
prog_inf,2021,172
prog_inf,2022,
prog_inf,2023,
fst_frv,2003,2913
fst_frv,2004,2785
fst_frv,2005,1885
fst_frv,2006,409
fst_frv,2007,110
fst_frv,2008,90
fst_frv,2009,111
fst_frv,2010,126
fst_frv,2011,417
fst_frv,2012,418
fst_frv,2013,419
fst_frv,2014,552
fst_frv,2015,546
fst_frv,2016,552
fst_frv,2017,521
fst_frv,2018,367
fst_frv,2019,368
fst_frv,2020,288
fst_frv,2021,393
fst_frv,2022,
fst_frv,2023,
jur_ek_hvd,2003,1023
jur_ek_hvd,2004,859
jur_ek_hvd,2005,1037
jur_ek_hvd,2006,1193
jur_ek_hvd,2007,1395
jur_ek_hvd,2008,1269
jur_ek_hvd,2009,494
jur_ek_hvd,2010,531
jur_ek_hvd,2011,580
jur_ek_hvd,2012,602
jur_ek_hvd,2013,596
jur_ek_hvd,2014,590
jur_ek_hvd,2015,929
jur_ek_hvd,2016,963
jur_ek_hvd,2017,861
jur_ek_hvd,2018,605
jur_ek_hvd,2019,604
jur_ek_hvd,2020,550
jur_ek_hvd,2021,575
jur_ek_hvd,2022,
jur_ek_hvd,2023,
ark_tek_vet,2003,6656
ark_tek_vet,2004,7231
ark_tek_vet,2005,7541
ark_tek_vet,2006,8122
ark_tek_vet,2007,9806
ark_tek_vet,2008,10611
ark_tek_vet,2009,10685
ark_tek_vet,2010,11097
ark_tek_vet,2011,10385
ark_tek_vet,2012,10658
ark_tek_vet,2013,9941
ark_tek_vet,2014,11190
ark_tek_vet,2015,11269
ark_tek_vet,2016,13099
ark_tek_vet,2017,13861
ark_tek_vet,2018,14832
ark_tek_vet,2019,15629
ark_tek_vet,2020,14607
ark_tek_vet,2021,15495
ark_tek_vet,2022,
ark_tek_vet,2023,
rek_mrknd,2003,217
rek_mrknd,2004,230
rek_mrknd,2005,328
rek_mrknd,2006,247
rek_mrknd,2007,433
rek_mrknd,2008,565
rek_mrknd,2009,2048
rek_mrknd,2010,2483
rek_mrknd,2011,2579
rek_mrknd,2012,2772
rek_mrknd,2013,2526
rek_mrknd,2014,2661
rek_mrknd,2015,2748
rek_mrknd,2016,2768
rek_mrknd,2017,3024
rek_mrknd,2018,3123
rek_mrknd,2019,3526
rek_mrknd,2020,3866
rek_mrknd,2021,4580
rek_mrknd,2022,
rek_mrknd,2023,
uthyr,2003,24
uthyr,2004,26
uthyr,2005,24
uthyr,2006,32
uthyr,2007,45
uthyr,2008,385
uthyr,2009,409
uthyr,2010,439
uthyr,2011,500
uthyr,2012,1438
uthyr,2013,558
uthyr,2014,611
uthyr,2015,623
uthyr,2016,667
uthyr,2017,675
uthyr,2018,715
uthyr,2019,781
uthyr,2020,840
uthyr,2021,862
uthyr,2022,
uthyr,2023,
arbf_res,2003,1048
arbf_res,2004,1323
arbf_res,2005,1380
arbf_res,2006,1446
arbf_res,2007,1976
arbf_res,2008,2073
arbf_res,2009,1518
arbf_res,2010,1629
arbf_res,2011,1431
arbf_res,2012,1333
arbf_res,2013,1420
arbf_res,2014,1390
arbf_res,2015,1345
arbf_res,2016,1356
arbf_res,2017,1253
arbf_res,2018,1328
arbf_res,2019,1669
arbf_res,2020,1260
arbf_res,2021,1524
arbf_res,2022,
arbf_res,2023,
utbild,2003,108
utbild,2004,118
utbild,2005,133
utbild,2006,134
utbild,2007,142
utbild,2008,140
utbild,2009,133
utbild,2010,143
utbild,2011,140
utbild,2012,214
utbild,2013,195
utbild,2014,194
utbild,2015,240
utbild,2016,230
utbild,2017,231
utbild,2018,203
utbild,2019,251
utbild,2020,242
utbild,2021,244
utbild,2022,
utbild,2023,
hls_sjkvrd,2003,1
hls_sjkvrd,2004,2
hls_sjkvrd,2005,3
hls_sjkvrd,2006,2
hls_sjkvrd,2007,5
hls_sjkvrd,2008,3
hls_sjkvrd,2009,6
hls_sjkvrd,2010,6
hls_sjkvrd,2011,6
hls_sjkvrd,2012,3
hls_sjkvrd,2013,3
hls_sjkvrd,2014,2
hls_sjkvrd,2015,1
hls_sjkvrd,2016,
hls_sjkvrd,2017,
hls_sjkvrd,2018,
