sni_id,year,ant_for_fem
hushallsproducenter_avd,2015,0
hushallsproducenter_avd,2016,0
hushallsproducenter_avd,2017,0
hushallsproducenter_avd,2018,0
hushallsproducenter_avd,2019,0
hushallsproducenter_avd,2020,0
hushallsproducenter_avd,2021,0
hushallsproducenter_avd,2022,
hushallsproducenter_avd,2023,
huvudkontor_kons,2000,
huvudkontor_kons,2001,
huvudkontor_kons,2002,
huvudkontor_kons,2003,
huvudkontor_kons,2004,
huvudkontor_kons,2005,
huvudkontor_kons,2006,938
huvudkontor_kons,2007,990
huvudkontor_kons,2008,965
huvudkontor_kons,2009,998
huvudkontor_kons,2010,1014
huvudkontor_kons,2011,1088
huvudkontor_kons,2012,1081
huvudkontor_kons,2013,1092
huvudkontor_kons,2014,1102
huvudkontor_kons,2015,1114
huvudkontor_kons,2016,1179
huvudkontor_kons,2017,1238
huvudkontor_kons,2018,1197
huvudkontor_kons,2019,1260
huvudkontor_kons,2020,1326
huvudkontor_kons,2021,1344
huvudkontor_kons,2022,
huvudkontor_kons,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,89
icke_met_andra,2007,96
icke_met_andra,2008,107
icke_met_andra,2009,105
icke_met_andra,2010,107
icke_met_andra,2011,106
icke_met_andra,2012,101
icke_met_andra,2013,97
icke_met_andra,2014,95
icke_met_andra,2015,103
icke_met_andra,2016,95
icke_met_andra,2017,99
icke_met_andra,2018,103
icke_met_andra,2019,100
icke_met_andra,2020,100
icke_met_andra,2021,108
icke_met_andra,2022,
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,152
datorer_elek,2007,148
datorer_elek,2008,148
datorer_elek,2009,138
datorer_elek,2010,138
datorer_elek,2011,131
datorer_elek,2012,122
datorer_elek,2013,124
datorer_elek,2014,120
datorer_elek,2015,118
datorer_elek,2016,117
datorer_elek,2017,122
datorer_elek,2018,120
datorer_elek,2019,113
datorer_elek,2020,112
datorer_elek,2021,105
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,96
elapparatur,2007,99
elapparatur,2008,104
elapparatur,2009,102
elapparatur,2010,104
elapparatur,2011,113
elapparatur,2012,99
elapparatur,2013,109
elapparatur,2014,86
elapparatur,2015,87
elapparatur,2016,89
elapparatur,2017,81
elapparatur,2018,67
elapparatur,2019,81
elapparatur,2020,90
elapparatur,2021,74
elapparatur,2022,
elapparatur,2023,
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,4
farmaceutiska_basp,2007,4
farmaceutiska_basp,2008,8
farmaceutiska_basp,2009,7
farmaceutiska_basp,2010,7
farmaceutiska_basp,2011,6
farmaceutiska_basp,2012,6
farmaceutiska_basp,2013,8
farmaceutiska_basp,2014,8
farmaceutiska_basp,2015,10
farmaceutiska_basp,2016,11
farmaceutiska_basp,2017,9
farmaceutiska_basp,2018,11
farmaceutiska_basp,2019,15
farmaceutiska_basp,2020,11
farmaceutiska_basp,2021,9
farmaceutiska_basp,2022,
farmaceutiska_basp,2023,
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
