sni_id,year,ant_for_tio
fisk,2006,8
fisk,2007,10
fisk,2008,8
fisk,2009,5
fisk,2010,7
fisk,2011,6
fisk,2012,12
fisk,2013,10
fisk,2014,9
fisk,2015,9
fisk,2016,10
fisk,2017,10
fisk,2018,19
fisk,2019,16
fisk,2020,17
fisk,2021,19
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,12
flygbolag,2007,12
flygbolag,2008,14
flygbolag,2009,14
flygbolag,2010,13
flygbolag,2011,13
flygbolag,2012,15
flygbolag,2013,16
flygbolag,2014,11
flygbolag,2015,13
flygbolag,2016,9
flygbolag,2017,11
flygbolag,2018,10
flygbolag,2019,13
flygbolag,2020,13
flygbolag,2021,14
flygbolag,2022,
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,78
forsknings,2007,81
forsknings,2008,80
forsknings,2009,80
forsknings,2010,82
forsknings,2011,77
forsknings,2012,72
forsknings,2013,80
forsknings,2014,80
forsknings,2015,87
forsknings,2016,90
forsknings,2017,94
forsknings,2018,122
forsknings,2019,124
forsknings,2020,139
forsknings,2021,136
forsknings,2022,
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,47
foretag_for_bev,2007,52
foretag_for_bev,2008,43
foretag_for_bev,2009,43
foretag_for_bev,2010,51
foretag_for_bev,2011,44
foretag_for_bev,2012,48
foretag_for_bev,2013,58
foretag_for_bev,2014,54
foretag_for_bev,2015,57
foretag_for_bev,2016,65
foretag_for_bev,2017,54
foretag_for_bev,2018,67
foretag_for_bev,2019,65
foretag_for_bev,2020,81
foretag_for_bev,2021,75
foretag_for_bev,2022,
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,463
foretag_for,2007,460
foretag_for,2008,460
foretag_for,2009,492
foretag_for,2010,518
foretag_for,2011,530
foretag_for,2012,574
foretag_for,2013,577
foretag_for,2014,582
foretag_for,2015,608
foretag_for,2016,596
foretag_for,2017,634
foretag_for,2018,722
foretag_for,2019,762
foretag_for,2020,789
foretag_for,2021,784
foretag_for,2022,
foretag_for,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,204
forlag,2007,202
forlag,2008,215
forlag,2009,218
forlag,2010,217
forlag,2011,217
forlag,2012,227
forlag,2013,198
forlag,2014,215
forlag,2015,217
forlag,2016,226
forlag,2017,214
forlag,2018,238
forlag,2019,255
forlag,2020,251
forlag,2021,243
forlag,2022,
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
forsakrings,2006,22
forsakrings,2007,24
forsakrings,2008,23
forsakrings,2009,28
forsakrings,2010,19
forsakrings,2011,17
forsakrings,2012,15
forsakrings,2013,14
forsakrings,2014,22
forsakrings,2015,20
forsakrings,2016,18
forsakrings,2017,18
forsakrings,2018,14
forsakrings,2019,15
forsakrings,2020,14
forsakrings,2021,14
forsakrings,2022,
forsakrings,2023,
forvarvsarbete_ihu,2000,
forvarvsarbete_ihu,2001,
forvarvsarbete_ihu,2002,
forvarvsarbete_ihu,2003,
forvarvsarbete_ihu,2004,
forvarvsarbete_ihu,2005,
forvarvsarbete_ihu,2006,0
forvarvsarbete_ihu,2007,0
forvarvsarbete_ihu,2008,0
forvarvsarbete_ihu,2009,0
forvarvsarbete_ihu,2010,0
forvarvsarbete_ihu,2011,0
forvarvsarbete_ihu,2012,0
forvarvsarbete_ihu,2013,0
forvarvsarbete_ihu,2014,0
forvarvsarbete_ihu,2015,0
forvarvsarbete_ihu,2016,0
forvarvsarbete_ihu,2017,0
forvarvsarbete_ihu,2018,0
forvarvsarbete_ihu,2019,0
forvarvsarbete_ihu,2020,0
forvarvsarbete_ihu,2021,0
forvarvsarbete_ihu,2022,
forvarvsarbete_ihu,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,201
grafisk,2007,178
grafisk,2008,164
grafisk,2009,149
grafisk,2010,145
grafisk,2011,138
grafisk,2012,132
grafisk,2013,136
grafisk,2014,126
grafisk,2015,109
grafisk,2016,100
grafisk,2017,104
grafisk,2018,75
grafisk,2019,71
grafisk,2020,74
grafisk,2021,76
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,150
gummi,2007,152
gummi,2008,149
gummi,2009,138
gummi,2010,147
gummi,2011,147
gummi,2012,139
gummi,2013,143
gummi,2014,139
gummi,2015,126
gummi,2016,137
gummi,2017,124
gummi,2018,113
gummi,2019,119
gummi,2020,110
gummi,2021,111
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,
handel_med,2004,
handel_med,2005,
handel_med,2006,559
handel_med,2007,586
handel_med,2008,548
handel_med,2009,576
handel_med,2010,561
handel_med,2011,549
handel_med,2012,563
handel_med,2013,568
handel_med,2014,589
handel_med,2015,571
handel_med,2016,587
handel_med,2017,590
handel_med,2018,654
handel_med,2019,707
handel_med,2020,694
handel_med,2021,704
handel_med,2022,
handel_med,2023,
hotell_logi,2000,
hotell_logi,2001,
hotell_logi,2002,
hotell_logi,2003,
hotell_logi,2004,
hotell_logi,2005,
hotell_logi,2006,304
hotell_logi,2007,305
hotell_logi,2008,313
hotell_logi,2009,338
hotell_logi,2010,353
hotell_logi,2011,338
hotell_logi,2012,343
hotell_logi,2013,358
hotell_logi,2014,382
hotell_logi,2015,382
hotell_logi,2016,374
hotell_logi,2017,366
hotell_logi,2018,455
hotell_logi,2019,470
hotell_logi,2020,446
hotell_logi,2021,454
hotell_logi,2022,
hotell_logi,2023,
hushallsproducenter_avd,2000,
hushallsproducenter_avd,2001,
hushallsproducenter_avd,2002,
hushallsproducenter_avd,2003,
hushallsproducenter_avd,2004,
hushallsproducenter_avd,2005,
hushallsproducenter_avd,2006,0
hushallsproducenter_avd,2007,0
hushallsproducenter_avd,2008,0
hushallsproducenter_avd,2009,0
hushallsproducenter_avd,2010,0
hushallsproducenter_avd,2011,0
hushallsproducenter_avd,2012,0
hushallsproducenter_avd,2013,0
hushallsproducenter_avd,2014,0
hushallsproducenter_avd,2015,0
hushallsproducenter_avd,2016,0
hushallsproducenter_avd,2017,0
