sninamn,year,forv_kv
hls_sjkvrd,2012,6
hls_sjkvrd,2013,4
hls_sjkvrd,2014,1
hls_sjkvrd,2015,1
hls_sjkvrd,2016,
hls_sjkvrd,2017,
hls_sjkvrd,2018,
hls_sjkvrd,2019,
hls_sjkvrd,2020,
hls_sjkvrd,2021,
hls_sjkvrd,2022,
hls_sjkvrd,2023,
vrd_oms,2003,
vrd_oms,2004,
vrd_oms,2005,
vrd_oms,2006,
vrd_oms,2007,
vrd_oms,2008,
vrd_oms,2009,
vrd_oms,2010,
vrd_oms,2011,
vrd_oms,2012,
vrd_oms,2013,
vrd_oms,2014,
vrd_oms,2015,
vrd_oms,2016,
vrd_oms,2017,
vrd_oms,2018,0
vrd_oms,2019,0
vrd_oms,2020,0
vrd_oms,2021,0
vrd_oms,2022,
vrd_oms,2023,
kult_frit,2003,100
kult_frit,2004,96
kult_frit,2005,106
kult_frit,2006,121
kult_frit,2007,147
kult_frit,2008,176
kult_frit,2009,181
kult_frit,2010,179
kult_frit,2011,161
kult_frit,2012,156
kult_frit,2013,208
kult_frit,2014,175
kult_frit,2015,174
kult_frit,2016,204
kult_frit,2017,222
kult_frit,2018,206
kult_frit,2019,194
kult_frit,2020,179
kult_frit,2021,230
kult_frit,2022,
kult_frit,2023,
ann_serv,2003,69
ann_serv,2004,70
ann_serv,2005,88
ann_serv,2006,106
ann_serv,2007,110
ann_serv,2008,122
ann_serv,2009,82
ann_serv,2010,96
ann_serv,2011,99
ann_serv,2012,96
ann_serv,2013,103
ann_serv,2014,110
ann_serv,2015,111
ann_serv,2016,99
ann_serv,2017,99
ann_serv,2018,106
ann_serv,2019,96
ann_serv,2020,93
ann_serv,2021,96
ann_serv,2022,
ann_serv,2023,
off_sek,2003,3366
off_sek,2004,3369
off_sek,2005,3409
off_sek,2006,3680
off_sek,2007,3744
off_sek,2008,3555
off_sek,2009,3187
off_sek,2010,3460
off_sek,2011,3850
off_sek,2012,3766
off_sek,2013,3740
off_sek,2014,3785
off_sek,2015,4025
off_sek,2016,4269
off_sek,2017,4405
off_sek,2018,4701
off_sek,2019,4806
off_sek,2020,4894
off_sek,2021,4952
off_sek,2022,
off_sek,2023,
hsh_icke,2003,
hsh_icke,2004,
hsh_icke,2005,
hsh_icke,2006,
hsh_icke,2007,
hsh_icke,2008,326
hsh_icke,2009,356
hsh_icke,2010,308
hsh_icke,2011,328
hsh_icke,2012,348
hsh_icke,2013,376
hsh_icke,2014,397
hsh_icke,2015,405
hsh_icke,2016,394
hsh_icke,2017,404
hsh_icke,2018,401
hsh_icke,2019,461
hsh_icke,2020,465
hsh_icke,2021,495
hsh_icke,2022,
hsh_icke,2023,
tot,2003,14364
tot,2004,15223
tot,2005,15684
tot,2006,17177
tot,2007,19223
tot,2008,19559
tot,2009,18765
tot,2010,19359
tot,2011,21428
tot,2012,22658
tot,2013,22470
tot,2014,23225
tot,2015,24437
tot,2016,25675
tot,2017,26882
tot,2018,28476
tot,2019,29608
tot,2020,30391
tot,2021,32247
tot,2022,
tot,2023,
