sni_id,gender,year,ant_forv_tot_reg
transport_mag,2,2005,
transport_mag,2,2006,
transport_mag,2,2007,
transport_mag,2,2008,174967
transport_mag,2,2009,169227
transport_mag,2,2010,172926
transport_mag,2,2011,175838
transport_mag,2,2012,176182
transport_mag,2,2013,177402
transport_mag,2,2014,176158
transport_mag,2,2015,176388
transport_mag,2,2016,177926
transport_mag,2,2017,180437
transport_mag,2,2018,183566
transport_mag,2,2019,185216
transport_mag,2,2020,177073
transport_mag,2,2021,180972
transport_mag,2,2022,179869
transport_mag,2,2023,
utbildning,2,2000,
utbildning,2,2001,
utbildning,2,2002,
utbildning,2,2003,
utbildning,2,2004,
utbildning,2,2005,
utbildning,2,2006,
utbildning,2,2007,
utbildning,2,2008,111782
utbildning,2,2009,111494
utbildning,2,2010,117596
utbildning,2,2011,118546
utbildning,2,2012,121340
utbildning,2,2013,124178
utbildning,2,2014,126342
utbildning,2,2015,129398
utbildning,2,2016,136463
utbildning,2,2017,139924
utbildning,2,2018,141239
utbildning,2,2019,143286
utbildning,2,2020,141621
utbildning,2,2021,141370
utbildning,2,2022,141171
utbildning,2,2023,
vard_om,2,2000,
vard_om,2,2001,
vard_om,2,2002,
vard_om,2,2003,
vard_om,2,2004,
vard_om,2,2005,
vard_om,2,2006,
vard_om,2,2007,
vard_om,2,2008,118224
vard_om,2,2009,119957
vard_om,2,2010,123326
vard_om,2,2011,126046
vard_om,2,2012,130752
vard_om,2,2013,137006
vard_om,2,2014,143040
vard_om,2,2015,152292
vard_om,2,2016,163997
vard_om,2,2017,165888
vard_om,2,2018,165643
vard_om,2,2019,169596
vard_om,2,2020,171665
vard_om,2,2021,176330
vard_om,2,2022,178497
vard_om,2,2023,
