sni_id,lan,year,ant_kon
hotell_logi,5,2010,NA
hotell_logi,5,2011,NA
hotell_logi,5,2012,NA
hotell_logi,5,2013,NA
hotell_logi,5,2014,NA
hotell_logi,5,2015,NA
hotell_logi,5,2016,NA
hotell_logi,5,2017,NA
hotell_logi,5,2018,NA
hotell_logi,5,2019,4
hotell_logi,5,2020,4
hotell_logi,5,2021,5
hotell_logi,5,2022,NA
hotell_logi,5,2023,NA
restaurang_cate,5,2009,13
restaurang_cate,5,2010,16
restaurang_cate,5,2011,8
restaurang_cate,5,2012,7
restaurang_cate,5,2013,14
restaurang_cate,5,2014,3
restaurang_cate,5,2015,6
restaurang_cate,5,2016,5
restaurang_cate,5,2017,14
restaurang_cate,5,2018,9
restaurang_cate,5,2019,11
restaurang_cate,5,2020,19
restaurang_cate,5,2021,14
restaurang_cate,5,2022,19
restaurang_cate,5,2023,22
information_komm,5,2009,4
information_komm,5,2010,11
information_komm,5,2011,10
information_komm,5,2012,NA
information_komm,5,2013,3
information_komm,5,2014,3
information_komm,5,2015,3
information_komm,5,2016,4
information_komm,5,2017,9
information_komm,5,2018,NA
information_komm,5,2019,5
information_komm,5,2020,8
information_komm,5,2021,5
information_komm,5,2022,6
information_komm,5,2023,3
finans_fast,5,2009,39
finans_fast,5,2010,29
finans_fast,5,2011,26
finans_fast,5,2012,27
finans_fast,5,2013,31
finans_fast,5,2014,20
finans_fast,5,2015,23
finans_fast,5,2016,24
finans_fast,5,2017,23
finans_fast,5,2018,34
finans_fast,5,2019,24
finans_fast,5,2020,36
finans_fast,5,2021,26
finans_fast,5,2022,30
finans_fast,5,2023,34
utbildning_halso,5,2009,12
utbildning_halso,5,2010,16
utbildning_halso,5,2011,5
utbildning_halso,5,2012,9
utbildning_halso,5,2013,12
utbildning_halso,5,2014,11
utbildning_halso,5,2015,8
utbildning_halso,5,2016,4
utbildning_halso,5,2017,13
utbildning_halso,5,2018,11
utbildning_halso,5,2019,13
utbildning_halso,5,2020,10
utbildning_halso,5,2021,15
utbildning_halso,5,2022,18
utbildning_halso,5,2023,25
bransch_ospe,5,2009,19
bransch_ospe,5,2010,27
bransch_ospe,5,2011,16
bransch_ospe,5,2012,27
bransch_ospe,5,2013,23
bransch_ospe,5,2014,11
bransch_ospe,5,2015,15
bransch_ospe,5,2016,16
bransch_ospe,5,2017,9
bransch_ospe,5,2018,20
bransch_ospe,5,2019,9
bransch_ospe,5,2020,11
bransch_ospe,5,2021,13
bransch_ospe,5,2022,13
bransch_ospe,5,2023,11
jord_skog,6,2009,NA
jord_skog,6,2010,3
jord_skog,6,2011,NA
jord_skog,6,2012,NA
jord_skog,6,2013,5
jord_skog,6,2014,NA
jord_skog,6,2015,NA
jord_skog,6,2016,NA
jord_skog,6,2017,3
jord_skog,6,2018,NA
jord_skog,6,2019,6
jord_skog,6,2020,4
jord_skog,6,2021,NA
jord_skog,6,2022,NA
jord_skog,6,2023,NA
tillverkning,6,2009,22
tillverkning,6,2010,16
tillverkning,6,2011,11
tillverkning,6,2012,11
tillverkning,6,2013,16
tillverkning,6,2014,13
tillverkning,6,2015,10
tillverkning,6,2016,6
tillverkning,6,2017,4
tillverkning,6,2018,6
tillverkning,6,2019,12
tillverkning,6,2020,7
tillverkning,6,2021,8
tillverkning,6,2022,9
tillverkning,6,2023,14
