sni_id,lan,year,ant_ans_kon
utbildning_halso,5,2022,41
utbildning_halso,5,2023,45
bransch_ospe,5,2009,0
bransch_ospe,5,2010,0
bransch_ospe,5,2011,0
bransch_ospe,5,2012,0
bransch_ospe,5,2013,0
bransch_ospe,5,2014,0
bransch_ospe,5,2015,9
bransch_ospe,5,2016,3
bransch_ospe,5,2017,0
bransch_ospe,5,2018,0
bransch_ospe,5,2019,0
bransch_ospe,5,2020,0
bransch_ospe,5,2021,0
bransch_ospe,5,2022,0
bransch_ospe,5,2023,0
jord_skog,6,2009,NA
jord_skog,6,2010,14
jord_skog,6,2011,NA
jord_skog,6,2012,NA
jord_skog,6,2013,11
jord_skog,6,2014,NA
jord_skog,6,2015,NA
jord_skog,6,2016,NA
jord_skog,6,2017,2
jord_skog,6,2018,NA
jord_skog,6,2019,4
jord_skog,6,2020,0
jord_skog,6,2021,NA
jord_skog,6,2022,NA
jord_skog,6,2023,NA
tillverkning,6,2009,238
tillverkning,6,2010,242
tillverkning,6,2011,117
tillverkning,6,2012,429
tillverkning,6,2013,401
tillverkning,6,2014,64
tillverkning,6,2015,62
tillverkning,6,2016,12
tillverkning,6,2017,54
tillverkning,6,2018,80
tillverkning,6,2019,155
