sni_id,year,forbr_bio
forsakrings,2021,111
forsakrings,2022,97
forsakrings,2023,92
serviceforetag_fin,2008,35
serviceforetag_fin,2009,10
serviceforetag_fin,2010,10
serviceforetag_fin,2011,11
serviceforetag_fin,2012,17
serviceforetag_fin,2013,28
serviceforetag_fin,2014,29
serviceforetag_fin,2015,36
serviceforetag_fin,2016,47
serviceforetag_fin,2017,48
serviceforetag_fin,2018,52
serviceforetag_fin,2019,48
serviceforetag_fin,2020,51
serviceforetag_fin,2021,56
serviceforetag_fin,2022,64
serviceforetag_fin,2023,53
fastighetsbolag_g,2008,266
fastighetsbolag_g,2009,114
fastighetsbolag_g,2010,124
fastighetsbolag_g,2011,133
fastighetsbolag_g,2012,226
fastighetsbolag_g,2013,275
fastighetsbolag_g,2014,326
fastighetsbolag_g,2015,566
fastighetsbolag_g,2016,644
fastighetsbolag_g,2017,569
fastighetsbolag_g,2018,704
fastighetsbolag_g,2019,700
fastighetsbolag_g,2020,715
fastighetsbolag_g,2021,773
fastighetsbolag_g,2022,855
fastighetsbolag_g,2023,772
juridisk_ek,2008,32
juridisk_ek,2009,42
juridisk_ek,2010,44
juridisk_ek,2011,54
juridisk_ek,2012,99
juridisk_ek,2013,143
juridisk_ek,2014,211
juridisk_ek,2015,289
juridisk_ek,2016,412
juridisk_ek,2017,463
juridisk_ek,2018,485
juridisk_ek,2019,494
juridisk_ek,2020,532
juridisk_ek,2021,616
juridisk_ek,2022,991
juridisk_ek,2023,1225
arkitekt_tekn,2008,1482
arkitekt_tekn,2009,1547
arkitekt_tekn,2010,1474
arkitekt_tekn,2011,1575
arkitekt_tekn,2012,1868
arkitekt_tekn,2013,2284
arkitekt_tekn,2014,1919
arkitekt_tekn,2015,2443
arkitekt_tekn,2016,2319
arkitekt_tekn,2017,2526
arkitekt_tekn,2018,3008
arkitekt_tekn,2019,2453
arkitekt_tekn,2020,2451
arkitekt_tekn,2021,2680
arkitekt_tekn,2022,3011
arkitekt_tekn,2023,2948
reklam_und,2008,79
reklam_und,2009,135
reklam_und,2010,106
reklam_und,2011,472
reklam_und,2012,136
reklam_und,2013,165
reklam_und,2014,177
reklam_und,2015,235
reklam_und,2016,209
reklam_und,2017,358
reklam_und,2018,391
reklam_und,2019,368
reklam_und,2020,345
reklam_und,2021,402
reklam_und,2022,412
reklam_und,2023,456
uthyrningsfirmor,2008,1502
uthyrningsfirmor,2009,1495
uthyrningsfirmor,2010,1542
uthyrningsfirmor,2011,1398
uthyrningsfirmor,2012,1279
uthyrningsfirmor,2013,1272
uthyrningsfirmor,2014,1231
uthyrningsfirmor,2015,1324
uthyrningsfirmor,2016,1293
uthyrningsfirmor,2017,1611
uthyrningsfirmor,2018,1748
uthyrningsfirmor,2019,1777
uthyrningsfirmor,2020,1835
uthyrningsfirmor,2021,2914
uthyrningsfirmor,2022,2539
uthyrningsfirmor,2023,2103
arbetsformedling_rese,2008,1
arbetsformedling_rese,2009,2
arbetsformedling_rese,2010,1
arbetsformedling_rese,2011,2
arbetsformedling_rese,2012,3
arbetsformedling_rese,2013,4
arbetsformedling_rese,2014,6
arbetsformedling_rese,2015,8
arbetsformedling_rese,2016,11
arbetsformedling_rese,2017,16
arbetsformedling_rese,2018,14
arbetsformedling_rese,2019,13
arbetsformedling_rese,2020,13
arbetsformedling_rese,2021,14
arbetsformedling_rese,2022,13
arbetsformedling_rese,2023,11
utbildning,2008,6
utbildning,2009,8
utbildning,2010,8
utbildning,2011,9
utbildning,2012,15
utbildning,2013,19
utbildning,2014,27
utbildning,2015,68
utbildning,2016,68
utbildning,2017,56
utbildning,2018,56
utbildning,2019,57
utbildning,2020,63
utbildning,2021,67
utbildning,2022,69
utbildning,2023,52
halso,2008,196796
halso,2009,194675
halso,2010,206984
halso,2011,207375
halso,2012,206231
halso,2013,205702
halso,2014,207699
halso,2015,210292
halso,2016,207830
halso,2017,209954
halso,2018,208967
halso,2019,221444
halso,2020,223969
halso,2021,226497
halso,2022,226013
halso,2023,224343
vard,2008,17880
vard,2009,16378
vard,2010,17103
vard,2011,15577
vard,2012,16836
vard,2013,15971
vard,2014,16955
vard,2015,17080
vard,2016,16824
vard,2017,18253
vard,2018,16405
vard,2019,18445
vard,2020,16771
vard,2021,15836
vard,2022,16497
vard,2023,16208
kultur_noje,2008,4
kultur_noje,2009,6
kultur_noje,2010,6
kultur_noje,2011,7
kultur_noje,2012,272
kultur_noje,2013,36
kultur_noje,2014,62
kultur_noje,2015,118
kultur_noje,2016,97
kultur_noje,2017,135
kultur_noje,2018,125
kultur_noje,2019,122
kultur_noje,2020,127
kultur_noje,2021,144
kultur_noje,2022,142
kultur_noje,2023,104
annan_serv,2008,1775
annan_serv,2009,1537
annan_serv,2010,1642
annan_serv,2011,1172
annan_serv,2012,1344
annan_serv,2013,1504
annan_serv,2014,1902
annan_serv,2015,1722
annan_serv,2016,2128
annan_serv,2017,2592
annan_serv,2018,2352
annan_serv,2019,2424
annan_serv,2020,3510
annan_serv,2021,3142
annan_serv,2022,3140
annan_serv,2023,3450
internationella_org,2008,50
internationella_org,2009,68
internationella_org,2010,73
internationella_org,2011,93
internationella_org,2012,198
internationella_org,2013,370
internationella_org,2014,646
internationella_org,2015,946
internationella_org,2016,1406
internationella_org,2017,1495
internationella_org,2018,1480
internationella_org,2019,1520
internationella_org,2020,1821
internationella_org,2021,2580
internationella_org,2022,3144
internationella_org,2023,2943
offentlig_sekt,2008,2
offentlig_sekt,2009,3
offentlig_sekt,2010,3
offentlig_sekt,2011,4
offentlig_sekt,2012,5
offentlig_sekt,2013,6
offentlig_sekt,2014,10
offentlig_sekt,2015,13
offentlig_sekt,2016,17
offentlig_sekt,2017,18
offentlig_sekt,2018,18
offentlig_sekt,2019,17
offentlig_sekt,2020,17
offentlig_sekt,2021,18
offentlig_sekt,2022,20
offentlig_sekt,2023,18
hushall,2008,550
hushall,2009,402
hushall,2010,423
hushall,2011,541
hushall,2012,595
hushall,2013,630
hushall,2014,1023
hushall,2015,1122
hushall,2016,1401
hushall,2017,1529
hushall,2018,1741
hushall,2019,1675
hushall,2020,1668
hushall,2021,1632
hushall,2022,1874
hushall,2023,1812
privat_kons,2008,5211
privat_kons,2009,3877
privat_kons,2010,4602
privat_kons,2011,4921
privat_kons,2012,5370
privat_kons,2013,5619
privat_kons,2014,6365
privat_kons,2015,6927
privat_kons,2016,8326
privat_kons,2017,9358
privat_kons,2018,9420
privat_kons,2019,9927
privat_kons,2020,9840
privat_kons,2021,9435
privat_kons,2022,11511
privat_kons,2023,10841
