sni_id,year,syss_bel_tot
forsknings,2009,27296
forsknings,2010,21075
forsknings,2011,21420
forsknings,2012,20106
forsknings,2013,19827
forsknings,2014,19744
forsknings,2015,19666
forsknings,2016,18252
forsknings,2017,22892
forsknings,2018,24405
forsknings,2019,26613
forsknings,2020,28208
forsknings,2021,32447
forsknings,2022,35194
forsknings,2023,36505
reklam_mark,2007,
reklam_mark,2008,30343
reklam_mark,2009,28714
reklam_mark,2010,29281
reklam_mark,2011,29145
reklam_mark,2012,28325
reklam_mark,2013,27348
reklam_mark,2014,26614
reklam_mark,2015,26279
reklam_mark,2016,25473
reklam_mark,2017,24811
reklam_mark,2018,24540
reklam_mark,2019,26662
reklam_mark,2020,25128
reklam_mark,2021,25389
reklam_mark,2022,27026
reklam_mark,2023,27060
annan_spec,2007,
annan_spec,2008,27856
annan_spec,2009,28793
annan_spec,2010,28666
annan_spec,2011,29661
annan_spec,2012,30978
annan_spec,2013,32215
annan_spec,2014,33249
annan_spec,2015,34787
annan_spec,2016,36591
annan_spec,2017,37273
annan_spec,2018,37569
annan_spec,2019,39580
annan_spec,2020,39285
annan_spec,2021,40033
annan_spec,2022,41290
annan_spec,2023,41272
uthyrningsfirmor,2007,
uthyrningsfirmor,2008,11338
uthyrningsfirmor,2009,11003
uthyrningsfirmor,2010,11610
uthyrningsfirmor,2011,12287
uthyrningsfirmor,2012,13138
uthyrningsfirmor,2013,13194
uthyrningsfirmor,2014,12807
uthyrningsfirmor,2015,13114
uthyrningsfirmor,2016,13237
uthyrningsfirmor,2017,14081
uthyrningsfirmor,2018,15147
uthyrningsfirmor,2019,15451
uthyrningsfirmor,2020,14977
uthyrningsfirmor,2021,15355
uthyrningsfirmor,2022,15784
uthyrningsfirmor,2023,15865
arbetsformedlingar_rekr,2007,
arbetsformedlingar_rekr,2008,64324
arbetsformedlingar_rekr,2009,56206
arbetsformedlingar_rekr,2010,71665
arbetsformedlingar_rekr,2011,79107
arbetsformedlingar_rekr,2012,82298
arbetsformedlingar_rekr,2013,82240
arbetsformedlingar_rekr,2014,85389
arbetsformedlingar_rekr,2015,95406
arbetsformedlingar_rekr,2016,101188
arbetsformedlingar_rekr,2017,107610
arbetsformedlingar_rekr,2018,106682
arbetsformedlingar_rekr,2019,101458
arbetsformedlingar_rekr,2020,94092
arbetsformedlingar_rekr,2021,113590
arbetsformedlingar_rekr,2022,125980
arbetsformedlingar_rekr,2023,115207
res_bev_fast_kont,2007,
res_bev_fast_kont,2008,146104
res_bev_fast_kont,2009,142262
res_bev_fast_kont,2010,145058
res_bev_fast_kont,2011,148648
res_bev_fast_kont,2012,153372
res_bev_fast_kont,2013,155369
res_bev_fast_kont,2014,155379
res_bev_fast_kont,2015,156690
res_bev_fast_kont,2016,159688
res_bev_fast_kont,2017,161102
res_bev_fast_kont,2018,164132
res_bev_fast_kont,2019,169394
res_bev_fast_kont,2020,168380
res_bev_fast_kont,2021,169659
res_bev_fast_kont,2022,174079
res_bev_fast_kont,2023,178122
offentlig_forv,2007,
offentlig_forv,2008,239555
offentlig_forv,2009,240410
offentlig_forv,2010,246125
offentlig_forv,2011,252282
offentlig_forv,2012,256390
offentlig_forv,2013,264245
offentlig_forv,2014,267784
offentlig_forv,2015,271747
offentlig_forv,2016,282302
offentlig_forv,2017,293087
offentlig_forv,2018,305145
offentlig_forv,2019,304473
offentlig_forv,2020,321156
offentlig_forv,2021,326852
offentlig_forv,2022,334805
offentlig_forv,2023,343556
utbildning,2007,
utbildning,2008,450755
utbildning,2009,445480
utbildning,2010,461495
utbildning,2011,466846
utbildning,2012,474232
utbildning,2013,481364
utbildning,2014,488041
utbildning,2015,498757
utbildning,2016,521063
utbildning,2017,534694
utbildning,2018,540718
utbildning,2019,552794
utbildning,2020,543868
utbildning,2021,548210
utbildning,2022,551464
utbildning,2023,551597
halso,2007,
halso,2008,306315
halso,2009,302166
halso,2010,301867
halso,2011,294997
halso,2012,298033
halso,2013,301352
halso,2014,306495
halso,2015,313251
halso,2016,318502
halso,2017,325238
halso,2018,330913
halso,2019,336728
halso,2020,337231
halso,2021,347366
halso,2022,350975
halso,2023,355659
vardhem,2007,
vardhem,2008,215087
vardhem,2009,209395
vardhem,2010,213944
vardhem,2011,221524
vardhem,2012,223527
vardhem,2013,224794
vardhem,2014,228523
vardhem,2015,235274
vardhem,2016,246988
vardhem,2017,242913
vardhem,2018,234768
vardhem,2019,227851
vardhem,2020,225170
vardhem,2021,227539
vardhem,2022,229693
vardhem,2023,233937
sociala_oppe,2007,
sociala_oppe,2008,183487
sociala_oppe,2009,188621
sociala_oppe,2010,198786
sociala_oppe,2011,202634
sociala_oppe,2012,213129
sociala_oppe,2013,222846
sociala_oppe,2014,229053
sociala_oppe,2015,238024
sociala_oppe,2016,246555
sociala_oppe,2017,243987
sociala_oppe,2018,240948
sociala_oppe,2019,250120
sociala_oppe,2020,244098
sociala_oppe,2021,244599
sociala_oppe,2022,241131
sociala_oppe,2023,243732
kultur_noje,2007,
kultur_noje,2008,80572
kultur_noje,2009,80634
kultur_noje,2010,82717
kultur_noje,2011,84901
kultur_noje,2012,88008
kultur_noje,2013,89815
kultur_noje,2014,90640
kultur_noje,2015,92056
kultur_noje,2016,94093
kultur_noje,2017,95547
kultur_noje,2018,96583
kultur_noje,2019,105785
kultur_noje,2020,98432
kultur_noje,2021,105584
kultur_noje,2022,111348
kultur_noje,2023,113049
annan_serv,2007,
annan_serv,2008,104153
annan_serv,2009,106390
annan_serv,2010,108154
annan_serv,2011,110467
annan_serv,2012,113958
annan_serv,2013,117101
annan_serv,2014,117547
annan_serv,2015,117724
annan_serv,2016,118173
annan_serv,2017,117871
annan_serv,2018,118057
annan_serv,2019,125204
annan_serv,2020,121261
annan_serv,2021,122915
annan_serv,2022,123003
annan_serv,2023,124007
totalt_tota,2007,
totalt_tota,2008,4406789
totalt_tota,2009,4280743
totalt_tota,2010,4392720
totalt_tota,2011,4505600
totalt_tota,2012,4567500
totalt_tota,2013,4610204
totalt_tota,2014,4647314
totalt_tota,2015,4725345
totalt_tota,2016,4828325
totalt_tota,2017,4914893
totalt_tota,2018,4971919
totalt_tota,2019,5054893
totalt_tota,2020,4993313
totalt_tota,2021,5130302
totalt_tota,2022,5251816
totalt_tota,2023,5284131
