sni_id,year,ant_for_hundra
forsakrings,2006,15
forsakrings,2007,16
forsakrings,2008,20
forsakrings,2009,21
forsakrings,2010,22
forsakrings,2011,23
forsakrings,2012,24
forsakrings,2013,22
forsakrings,2014,23
forsakrings,2015,19
forsakrings,2016,20
forsakrings,2017,22
forsakrings,2018,23
forsakrings,2019,20
forsakrings,2020,20
forsakrings,2021,17
forsakrings,2022,
forsakrings,2023,
forvarvsarbete_ihu,2000,
forvarvsarbete_ihu,2001,
forvarvsarbete_ihu,2002,
forvarvsarbete_ihu,2003,
forvarvsarbete_ihu,2004,
forvarvsarbete_ihu,2005,
forvarvsarbete_ihu,2006,0
forvarvsarbete_ihu,2007,0
forvarvsarbete_ihu,2008,0
forvarvsarbete_ihu,2009,0
forvarvsarbete_ihu,2010,0
forvarvsarbete_ihu,2011,0
forvarvsarbete_ihu,2012,0
forvarvsarbete_ihu,2013,0
forvarvsarbete_ihu,2014,0
forvarvsarbete_ihu,2015,0
forvarvsarbete_ihu,2016,0
forvarvsarbete_ihu,2017,0
forvarvsarbete_ihu,2018,0
forvarvsarbete_ihu,2019,0
forvarvsarbete_ihu,2020,0
forvarvsarbete_ihu,2021,0
forvarvsarbete_ihu,2022,
forvarvsarbete_ihu,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,12
grafisk,2007,12
grafisk,2008,13
grafisk,2009,13
grafisk,2010,15
grafisk,2011,15
grafisk,2012,14
grafisk,2013,15
grafisk,2014,15
grafisk,2015,14
grafisk,2016,12
grafisk,2017,10
grafisk,2018,8
grafisk,2019,7
grafisk,2020,9
grafisk,2021,9
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,35
gummi,2007,31
gummi,2008,29
gummi,2009,31
gummi,2010,33
gummi,2011,32
gummi,2012,35
gummi,2013,35
gummi,2014,31
gummi,2015,30
gummi,2016,26
gummi,2017,28
gummi,2018,28
gummi,2019,27
gummi,2020,31
gummi,2021,30
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,
handel_med,2004,
handel_med,2005,
handel_med,2006,51
handel_med,2007,51
handel_med,2008,53
handel_med,2009,51
handel_med,2010,49
handel_med,2011,52
handel_med,2012,43
handel_med,2013,47
handel_med,2014,57
handel_med,2015,59
handel_med,2016,62
handel_med,2017,63
handel_med,2018,60
handel_med,2019,60
handel_med,2020,57
handel_med,2021,53
handel_med,2022,
handel_med,2023,
hotell_logi,2000,
hotell_logi,2001,
hotell_logi,2002,
hotell_logi,2003,
hotell_logi,2004,
hotell_logi,2005,
hotell_logi,2006,24
hotell_logi,2007,23
hotell_logi,2008,22
hotell_logi,2009,27
hotell_logi,2010,30
hotell_logi,2011,31
hotell_logi,2012,33
hotell_logi,2013,39
hotell_logi,2014,39
hotell_logi,2015,36
hotell_logi,2016,42
hotell_logi,2017,43
hotell_logi,2018,44
hotell_logi,2019,55
hotell_logi,2020,64
hotell_logi,2021,68
hotell_logi,2022,
hotell_logi,2023,
hushallsproducenter_avd,2000,
hushallsproducenter_avd,2001,
hushallsproducenter_avd,2002,
hushallsproducenter_avd,2003,
hushallsproducenter_avd,2004,
hushallsproducenter_avd,2005,
hushallsproducenter_avd,2006,0
hushallsproducenter_avd,2007,0
hushallsproducenter_avd,2008,0
hushallsproducenter_avd,2009,0
hushallsproducenter_avd,2010,0
hushallsproducenter_avd,2011,0
hushallsproducenter_avd,2012,0
hushallsproducenter_avd,2013,0
hushallsproducenter_avd,2014,0
hushallsproducenter_avd,2015,0
hushallsproducenter_avd,2016,0
hushallsproducenter_avd,2017,0
hushallsproducenter_avd,2018,0
hushallsproducenter_avd,2019,0
hushallsproducenter_avd,2020,0
hushallsproducenter_avd,2021,0
hushallsproducenter_avd,2022,
hushallsproducenter_avd,2023,
huvudkontor_kons,2000,
huvudkontor_kons,2001,
huvudkontor_kons,2002,
huvudkontor_kons,2003,
huvudkontor_kons,2004,
huvudkontor_kons,2005,
huvudkontor_kons,2006,23
huvudkontor_kons,2007,25
huvudkontor_kons,2008,27
huvudkontor_kons,2009,33
huvudkontor_kons,2010,36
huvudkontor_kons,2011,44
huvudkontor_kons,2012,40
huvudkontor_kons,2013,36
huvudkontor_kons,2014,45
huvudkontor_kons,2015,43
huvudkontor_kons,2016,43
huvudkontor_kons,2017,44
huvudkontor_kons,2018,45
huvudkontor_kons,2019,53
huvudkontor_kons,2020,66
huvudkontor_kons,2021,71
huvudkontor_kons,2022,
huvudkontor_kons,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,18
icke_met_andra,2007,15
icke_met_andra,2008,11
icke_met_andra,2009,18
icke_met_andra,2010,20
icke_met_andra,2011,18
icke_met_andra,2012,16
icke_met_andra,2013,14
icke_met_andra,2014,13
icke_met_andra,2015,9
icke_met_andra,2016,9
icke_met_andra,2017,13
icke_met_andra,2018,15
icke_met_andra,2019,15
icke_met_andra,2020,10
icke_met_andra,2021,11
icke_met_andra,2022,
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,22
datorer_elek,2007,18
datorer_elek,2008,14
datorer_elek,2009,16
datorer_elek,2010,17
datorer_elek,2011,18
datorer_elek,2012,14
datorer_elek,2013,15
datorer_elek,2014,17
datorer_elek,2015,15
datorer_elek,2016,19
datorer_elek,2017,16
datorer_elek,2018,19
datorer_elek,2019,20
datorer_elek,2020,21
datorer_elek,2021,17
datorer_elek,2022,
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,13
elapparatur,2007,13
elapparatur,2008,15
elapparatur,2009,19
elapparatur,2010,20
elapparatur,2011,19
elapparatur,2012,17
elapparatur,2013,22
elapparatur,2014,19
elapparatur,2015,19
elapparatur,2016,20
elapparatur,2017,22
elapparatur,2018,18
elapparatur,2019,17
elapparatur,2020,21
elapparatur,2021,20
elapparatur,2022,
elapparatur,2023,
farmaceutiska_basp,2000,
farmaceutiska_basp,2001,
farmaceutiska_basp,2002,
farmaceutiska_basp,2003,
farmaceutiska_basp,2004,
farmaceutiska_basp,2005,
farmaceutiska_basp,2006,6
farmaceutiska_basp,2007,5
farmaceutiska_basp,2008,5
farmaceutiska_basp,2009,3
farmaceutiska_basp,2010,4
farmaceutiska_basp,2011,4
farmaceutiska_basp,2012,4
farmaceutiska_basp,2013,3
farmaceutiska_basp,2014,3
farmaceutiska_basp,2015,4
farmaceutiska_basp,2016,6
farmaceutiska_basp,2017,6
farmaceutiska_basp,2018,5
farmaceutiska_basp,2019,4
farmaceutiska_basp,2020,4
farmaceutiska_basp,2021,6
farmaceutiska_basp,2022,
farmaceutiska_basp,2023,
industri_for_lad,2000,
industri_for_lad,2001,
industri_for_lad,2002,
industri_for_lad,2003,
industri_for_lad,2004,
industri_for_lad,2005,
industri_for_lad,2006,1
industri_for_lad,2007,1
industri_for_lad,2008,1
industri_for_lad,2009,1
industri_for_lad,2010,1
industri_for_lad,2011,1
industri_for_lad,2012,1
industri_for_lad,2013,1
industri_for_lad,2014,1
industri_for_lad,2015,1
industri_for_lad,2016,1
industri_for_lad,2017,1
industri_for_lad,2018,1
industri_for_lad,2019,1
industri_for_lad,2020,1
industri_for_lad,2021,1
industri_for_lad,2022,
industri_for_lad,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,67
industri_for_met,2007,65
industri_for_met,2008,51
industri_for_met,2009,49
industri_for_met,2010,50
industri_for_met,2011,48
industri_for_met,2012,48
industri_for_met,2013,50
industri_for_met,2014,48
industri_for_met,2015,42
industri_for_met,2016,48
industri_for_met,2017,56
industri_for_met,2018,48
industri_for_met,2019,45
industri_for_met,2020,48
industri_for_met,2021,52
industri_for_met,2022,
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,34
industri_for_mot,2007,30
industri_for_mot,2008,20
industri_for_mot,2009,28
industri_for_mot,2010,27
industri_for_mot,2011,26
industri_for_mot,2012,27
industri_for_mot,2013,27
industri_for_mot,2014,27
industri_for_mot,2015,29
industri_for_mot,2016,26
industri_for_mot,2017,26
industri_for_mot,2018,19
industri_for_mot,2019,23
industri_for_mot,2020,24
industri_for_mot,2021,24
industri_for_mot,2022,
industri_for_mot,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,31
industri_for_tra,2007,30
industri_for_tra,2008,28
industri_for_tra,2009,26
industri_for_tra,2010,27
industri_for_tra,2011,21
industri_for_tra,2012,21
industri_for_tra,2013,24
industri_for_tra,2014,23
industri_for_tra,2015,24
industri_for_tra,2016,29
industri_for_tra,2017,29
industri_for_tra,2018,32
industri_for_tra,2019,30
industri_for_tra,2020,31
industri_for_tra,2021,27
industri_for_tra,2022,
industri_for_tra,2023,
rapetroleum,2000,
rapetroleum,2001,
rapetroleum,2002,
rapetroleum,2003,
rapetroleum,2004,
rapetroleum,2005,
rapetroleum,2006,0
rapetroleum,2007,0
rapetroleum,2008,0
rapetroleum,2009,0
rapetroleum,2010,0
rapetroleum,2011,0
rapetroleum,2012,0
rapetroleum,2013,0
rapetroleum,2014,0
rapetroleum,2015,0
rapetroleum,2016,0
rapetroleum,2017,0
rapetroleum,2018,0
rapetroleum,2019,0
rapetroleum,2020,0
rapetroleum,2021,0
rapetroleum,2022,
rapetroleum,2023,
informationstjanstforetag,2000,
informationstjanstforetag,2001,
informationstjanstforetag,2002,
informationstjanstforetag,2003,
informationstjanstforetag,2004,
informationstjanstforetag,2005,
informationstjanstforetag,2006,7
informationstjanstforetag,2007,7
informationstjanstforetag,2008,8
informationstjanstforetag,2009,7
informationstjanstforetag,2010,10
informationstjanstforetag,2011,9
informationstjanstforetag,2012,9
informationstjanstforetag,2013,10
informationstjanstforetag,2014,9
informationstjanstforetag,2015,7
informationstjanstforetag,2016,6
informationstjanstforetag,2017,7
informationstjanstforetag,2018,8
informationstjanstforetag,2019,9
informationstjanstforetag,2020,11
informationstjanstforetag,2021,13
informationstjanstforetag,2022,
informationstjanstforetag,2023,
internationella_org,2000,
internationella_org,2001,
internationella_org,2002,
internationella_org,2003,
internationella_org,2004,
internationella_org,2005,
internationella_org,2006,0
internationella_org,2007,0
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,1
internationella_org,2019,1
internationella_org,2020,1
internationella_org,2021,1
internationella_org,2022,
internationella_org,2023,
intresseorganisationer,2000,
intresseorganisationer,2001,
intresseorganisationer,2002,
intresseorganisationer,2003,
intresseorganisationer,2004,
intresseorganisationer,2005,
intresseorganisationer,2006,48
intresseorganisationer,2007,51
intresseorganisationer,2008,51
intresseorganisationer,2009,44
intresseorganisationer,2010,48
intresseorganisationer,2011,49
intresseorganisationer,2012,53
intresseorganisationer,2013,52
intresseorganisationer,2014,47
