sni_id,year,utsl_ghg
offentlig_sekt,2009,556
offentlig_sekt,2010,574
offentlig_sekt,2011,512
offentlig_sekt,2012,522
offentlig_sekt,2013,456
offentlig_sekt,2014,427
offentlig_sekt,2015,421
offentlig_sekt,2016,412
offentlig_sekt,2017,395
offentlig_sekt,2018,385
offentlig_sekt,2019,413
offentlig_sekt,2020,398
offentlig_sekt,2021,393
offentlig_sekt,2022,367
offentlig_sekt,2023,
privat_kons,2000,
privat_kons,2001,
privat_kons,2002,
privat_kons,2003,
privat_kons,2004,
privat_kons,2005,
privat_kons,2006,
privat_kons,2007,
privat_kons,2008,11425
privat_kons,2009,11381
privat_kons,2010,11173
privat_kons,2011,10432
privat_kons,2012,10041
privat_kons,2013,9948
privat_kons,2014,9850
privat_kons,2015,9998
privat_kons,2016,9738
privat_kons,2017,9583
privat_kons,2018,9212
privat_kons,2019,8922
privat_kons,2020,8329
privat_kons,2021,8343
privat_kons,2022,7448
privat_kons,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
rederier,2008,4333
rederier,2009,3787
rederier,2010,3818
rederier,2011,2479
rederier,2012,1840
rederier,2013,2243
rederier,2014,2367
rederier,2015,3097
rederier,2016,3713
rederier,2017,3198
rederier,2018,3379
rederier,2019,3386
rederier,2020,2817
rederier,2021,2857
rederier,2022,3081
rederier,2023,
reklam_und,2000,
reklam_und,2001,
reklam_und,2002,
reklam_und,2003,
reklam_und,2004,
reklam_und,2005,
reklam_und,2006,
reklam_und,2007,
reklam_und,2008,91
reklam_und,2009,91
reklam_und,2010,88
reklam_und,2011,89
reklam_und,2012,82
reklam_und,2013,78
reklam_und,2014,76
reklam_und,2015,76
reklam_und,2016,72
reklam_und,2017,69
reklam_und,2018,67
reklam_und,2019,65
reklam_und,2020,60
reklam_und,2021,58
reklam_und,2022,50
reklam_und,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,
reparationsverkstader,2004,
reparationsverkstader,2005,
reparationsverkstader,2006,
reparationsverkstader,2007,
reparationsverkstader,2008,76
reparationsverkstader,2009,74
reparationsverkstader,2010,81
reparationsverkstader,2011,80
reparationsverkstader,2012,82
reparationsverkstader,2013,81
reparationsverkstader,2014,76
reparationsverkstader,2015,72
reparationsverkstader,2016,75
reparationsverkstader,2017,72
reparationsverkstader,2018,71
reparationsverkstader,2019,69
reparationsverkstader,2020,71
reparationsverkstader,2021,72
reparationsverkstader,2022,67
reparationsverkstader,2023,
serviceforetag_fin,2000,
serviceforetag_fin,2001,
serviceforetag_fin,2002,
serviceforetag_fin,2003,
serviceforetag_fin,2004,
serviceforetag_fin,2005,
serviceforetag_fin,2006,
serviceforetag_fin,2007,
serviceforetag_fin,2008,19
serviceforetag_fin,2009,28
serviceforetag_fin,2010,12
serviceforetag_fin,2011,10
serviceforetag_fin,2012,9
serviceforetag_fin,2013,9
serviceforetag_fin,2014,9
serviceforetag_fin,2015,9
serviceforetag_fin,2016,8
serviceforetag_fin,2017,8
serviceforetag_fin,2018,7
serviceforetag_fin,2019,7
serviceforetag_fin,2020,6
serviceforetag_fin,2021,6
serviceforetag_fin,2022,5
serviceforetag_fin,2023,
skogsbruksforetag,2000,
skogsbruksforetag,2001,
skogsbruksforetag,2002,
skogsbruksforetag,2003,
skogsbruksforetag,2004,
skogsbruksforetag,2005,
skogsbruksforetag,2006,
skogsbruksforetag,2007,
skogsbruksforetag,2008,1053
skogsbruksforetag,2009,1032
skogsbruksforetag,2010,1051
skogsbruksforetag,2011,1103
skogsbruksforetag,2012,1058
skogsbruksforetag,2013,996
skogsbruksforetag,2014,971
skogsbruksforetag,2015,961
skogsbruksforetag,2016,891
skogsbruksforetag,2017,863
skogsbruksforetag,2018,809
skogsbruksforetag,2019,831
skogsbruksforetag,2020,804
skogsbruksforetag,2021,791
skogsbruksforetag,2022,679
skogsbruksforetag,2023,
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,
metaller,2004,
metaller,2005,
metaller,2006,
metaller,2007,
metaller,2008,5956
metaller,2009,3389
metaller,2010,5675
metaller,2011,5301
metaller,2012,4490
metaller,2013,4564
metaller,2014,4637
metaller,2015,4867
metaller,2016,4864
metaller,2017,4674
metaller,2018,4470
metaller,2019,5676
metaller,2020,4429
metaller,2021,4793
metaller,2022,5002
metaller,2023,
telekommunikation_j,2000,
telekommunikation_j,2001,
telekommunikation_j,2002,
telekommunikation_j,2003,
telekommunikation_j,2004,
telekommunikation_j,2005,
telekommunikation_j,2006,
telekommunikation_j,2007,
telekommunikation_j,2008,40
telekommunikation_j,2009,34
telekommunikation_j,2010,32
telekommunikation_j,2011,33
telekommunikation_j,2012,26
telekommunikation_j,2013,25
telekommunikation_j,2014,24
telekommunikation_j,2015,22
