sni_id,year,varuexp
industri_for_tra,2009,
industri_for_tra,2010,32216034
industri_for_tra,2011,30534425
industri_for_tra,2012,30139955
industri_for_tra,2013,29997246
industri_for_tra,2014,32332273
industri_for_tra,2015,33012860
industri_for_tra,2016,32689854
industri_for_tra,2017,35052939
industri_for_tra,2018,37452072
industri_for_tra,2019,38124827
industri_for_tra,2020,40394366
industri_for_tra,2021,56612696
industri_for_tra,2022,61273238
industri_for_tra,2023,49788386
ovrig_mask,2000,
ovrig_mask,2001,
ovrig_mask,2002,
ovrig_mask,2003,
ovrig_mask,2004,
ovrig_mask,2005,
ovrig_mask,2006,
ovrig_mask,2007,
ovrig_mask,2008,
ovrig_mask,2009,
ovrig_mask,2010,148978083
ovrig_mask,2011,163491343
ovrig_mask,2012,159828526
ovrig_mask,2013,149275427
ovrig_mask,2014,157018436
ovrig_mask,2015,164469394
ovrig_mask,2016,158662381
ovrig_mask,2017,170099672
ovrig_mask,2018,190385012
ovrig_mask,2019,196433898
ovrig_mask,2020,177986237
ovrig_mask,2021,198204132
ovrig_mask,2022,227527730
ovrig_mask,2023,266307053
