sni_id,year,el_energi
annan_serv,2010,45
annan_serv,2011,37
annan_serv,2012,36
annan_serv,2013,33
annan_serv,2014,31
annan_serv,2015,90
annan_serv,2016,84
annan_serv,2017,112
annan_serv,2018,105
annan_serv,2019,122
annan_serv,2020,156
annan_serv,2021,165
annan_serv,2022,88
annan_serv,2023,155
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,0
internationella_org,2019,0
internationella_org,2020,0
internationella_org,2021,0
internationella_org,2022,0
internationella_org,2023,0
exp_export,2008,75
exp_export,2009,46
exp_export,2010,70
exp_export,2011,94
exp_export,2012,96
exp_export,2013,90
exp_export,2014,95
exp_export,2015,62
exp_export,2016,67
exp_export,2017,85
exp_export,2018,105
exp_export,2019,115
exp_export,2020,77
exp_export,2021,162
exp_export,2022,266
exp_export,2023,172
offentlig_sekt,2008,1710
offentlig_sekt,2009,2011
offentlig_sekt,2010,2014
offentlig_sekt,2011,1936
offentlig_sekt,2012,1798
offentlig_sekt,2013,1733
offentlig_sekt,2014,1698
offentlig_sekt,2015,1403
offentlig_sekt,2016,1345
offentlig_sekt,2017,1622
offentlig_sekt,2018,1834
offentlig_sekt,2019,1815
offentlig_sekt,2020,1759
offentlig_sekt,2021,951
offentlig_sekt,2022,993
offentlig_sekt,2023,982
hushall,2008,211
hushall,2009,218
hushall,2010,221
hushall,2011,216
hushall,2012,208
hushall,2013,203
hushall,2014,200
hushall,2015,81
hushall,2016,78
hushall,2017,86
hushall,2018,94
hushall,2019,94
hushall,2020,106
hushall,2021,104
hushall,2022,108
hushall,2023,110
privat_kons,2008,11951
privat_kons,2009,12424
privat_kons,2010,13212
privat_kons,2011,12542
privat_kons,2012,13398
privat_kons,2013,13775
privat_kons,2014,13059
privat_kons,2015,11350
privat_kons,2016,12487
privat_kons,2017,14058
privat_kons,2018,15254
privat_kons,2019,14963
privat_kons,2020,14578
privat_kons,2021,16908
privat_kons,2022,14740
privat_kons,2023,15807
bransch_ospe,2008,0
bransch_ospe,2009,0
bransch_ospe,2010,0
bransch_ospe,2011,0
bransch_ospe,2012,0
bransch_ospe,2013,0
bransch_ospe,2014,0
bransch_ospe,2015,0
bransch_ospe,2016,0
bransch_ospe,2017,0
bransch_ospe,2018,0
bransch_ospe,2019,0
bransch_ospe,2020,0
bransch_ospe,2021,0
bransch_ospe,2022,0
bransch_ospe,2023,0
