sni_id,year,utsl_koldi
kultur_noje,2009,167.086603732573
kultur_noje,2010,171.256075383616
kultur_noje,2011,171.5433639314
kultur_noje,2012,167.638334627046
kultur_noje,2013,158.923892992522
kultur_noje,2014,154.710942104571
kultur_noje,2015,154.31466637203
kultur_noje,2016,146.082212191929
kultur_noje,2017,144.255614529072
kultur_noje,2018,137.147813014143
kultur_noje,2019,140.72986218662
kultur_noje,2020,132.672702343555
kultur_noje,2021,131.886539286344
kultur_noje,2022,124.470198674647
kultur_noje,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,3516.73230347963
landtransportforetag_rort,2009,3196.10980199428
landtransportforetag_rort,2010,3290.57727931895
landtransportforetag_rort,2011,3212.59195179156
landtransportforetag_rort,2012,2865.80188185698
landtransportforetag_rort,2013,2625.39494706347
landtransportforetag_rort,2014,2520.15492341022
landtransportforetag_rort,2015,2316.88955333939
landtransportforetag_rort,2016,2061.91030111767
landtransportforetag_rort,2017,1936.99619848187
landtransportforetag_rort,2018,1805.57862156859
landtransportforetag_rort,2019,1757.59271883851
landtransportforetag_rort,2020,1619.25732270854
landtransportforetag_rort,2021,1672.23451453989
landtransportforetag_rort,2022,1461.80553964817
landtransportforetag_rort,2023,
livsmedel_dryck_tob,2000,
livsmedel_dryck_tob,2001,
livsmedel_dryck_tob,2002,
livsmedel_dryck_tob,2003,
livsmedel_dryck_tob,2004,
livsmedel_dryck_tob,2005,
livsmedel_dryck_tob,2006,
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2008,635.828768533467
livsmedel_dryck_tob,2009,649.255132505419
livsmedel_dryck_tob,2010,619.212119891737
livsmedel_dryck_tob,2011,615.247892890583
livsmedel_dryck_tob,2012,587.604097418213
livsmedel_dryck_tob,2013,546.740205573567
livsmedel_dryck_tob,2014,514.14404679302
livsmedel_dryck_tob,2015,442.048384332081
livsmedel_dryck_tob,2016,452.050955004508
livsmedel_dryck_tob,2017,422.95864893753
livsmedel_dryck_tob,2018,396.134733711266
livsmedel_dryck_tob,2019,378.064330651912
livsmedel_dryck_tob,2020,365.268592890217
livsmedel_dryck_tob,2021,309.160253557271
livsmedel_dryck_tob,2022,287.153442470177
livsmedel_dryck_tob,2023,
