country,year,arbk_med
serv_frsk,2015,14.7
serv_frsk,2016,13.7
serv_frsk,2017,13.9
serv_frsk,2018,13.7
serv_frsk,2019,15.6
serv_frsk,2020,17.2
serv_frsk,2021,17.9
serv_frsk,2022,18.9
serv_frsk,2023,
sm_hus,2003,
sm_hus,2004,
sm_hus,2005,
sm_hus,2006,
sm_hus,2007,
sm_hus,2008,
sm_hus,2009,
sm_hus,2010,
sm_hus,2011,
sm_hus,2012,
sm_hus,2013,
sm_hus,2014,
sm_hus,2015,
sm_hus,2016,
sm_hus,2017,
sm_hus,2018,
sm_hus,2019,
sm_hus,2020,
sm_hus,2021,
sm_hus,2022,
sm_hus,2023,
fast_ovrg,2003,
fast_ovrg,2004,
fast_ovrg,2005,
fast_ovrg,2006,
fast_ovrg,2007,
fast_ovrg,2008,69.2
fast_ovrg,2009,69.8
fast_ovrg,2010,68.9
fast_ovrg,2011,71.7
fast_ovrg,2012,71.8
fast_ovrg,2013,74.3
fast_ovrg,2014,76.4
fast_ovrg,2015,78
fast_ovrg,2016,80
fast_ovrg,2017,85.2
fast_ovrg,2018,86
fast_ovrg,2019,86.9
fast_ovrg,2020,87.7
fast_ovrg,2021,88.1
fast_ovrg,2022,89.5
fast_ovrg,2023,
jur_ek_hvd,2003,
jur_ek_hvd,2004,
jur_ek_hvd,2005,
jur_ek_hvd,2006,
jur_ek_hvd,2007,
jur_ek_hvd,2008,93
jur_ek_hvd,2009,91.9
jur_ek_hvd,2010,95.6
jur_ek_hvd,2011,100.6
jur_ek_hvd,2012,105.8
jur_ek_hvd,2013,106.7
jur_ek_hvd,2014,109.5
jur_ek_hvd,2015,111.6
jur_ek_hvd,2016,113.4
jur_ek_hvd,2017,122.4
jur_ek_hvd,2018,126
jur_ek_hvd,2019,128.2
jur_ek_hvd,2020,128.1
jur_ek_hvd,2021,128.3
jur_ek_hvd,2022,133.7
jur_ek_hvd,2023,
ark_tek_vet,2003,
ark_tek_vet,2004,
ark_tek_vet,2005,
ark_tek_vet,2006,
ark_tek_vet,2007,
ark_tek_vet,2008,90.1
ark_tek_vet,2009,92.4
ark_tek_vet,2010,93.2
ark_tek_vet,2011,96.1
ark_tek_vet,2012,99.6
ark_tek_vet,2013,102.7
ark_tek_vet,2014,104.5
ark_tek_vet,2015,107.2
ark_tek_vet,2016,109.5
ark_tek_vet,2017,118.4
ark_tek_vet,2018,122.8
ark_tek_vet,2019,128.5
ark_tek_vet,2020,129.3
ark_tek_vet,2021,130.6
ark_tek_vet,2022,137.7
ark_tek_vet,2023,
rek_mrknd,2003,
rek_mrknd,2004,
rek_mrknd,2005,
rek_mrknd,2006,
rek_mrknd,2007,
rek_mrknd,2008,65.4
rek_mrknd,2009,62.9
rek_mrknd,2010,64.1
rek_mrknd,2011,62.8
rek_mrknd,2012,63.2
rek_mrknd,2013,63.6
rek_mrknd,2014,64.2
rek_mrknd,2015,65
rek_mrknd,2016,64.8
rek_mrknd,2017,66.1
rek_mrknd,2018,67.1
rek_mrknd,2019,66.7
